Episodes,Manhattan Distance,Cosine Similarity,Euclidian Distance,Q-Value
100,210.61,-215.73,462.81,-197.97
200,344.72,-530.14,475.62,-42.22
300,582.82,-531.0,471.28,59.82
400,553.98,-531.22,413.3,116.72
500,299.98,-535.72,443.18,-162.92
600,462.54,-535.04,368.82,-129.7
700,466.32,-530.66,485.48,24.72
800,581.24,-536.44,468.2,-139.1
900,600.08,-537.44,514.58,17.22
1000,356.32,-535.36,606.52,-10.68
1100,489.7,-538.2,612.48,75.0
1200,400.36,-537.78,403.96,-129.78
1300,541.84,-531.92,737.3,321.1
1400,649.44,-533.78,660.64,112.46
1500,514.04,-532.32,414.52,151.04
1600,471.7,-531.72,573.76,273.12
1700,434.44,-535.26,757.88,313.92
1800,747.54,-534.74,660.36,487.22
1900,651.72,-530.5,897.9,213.48
2000,465.94,-539.46,577.82,501.96
2100,596.94,-531.7,654.36,429.54
2200,630.52,-532.64,476.48,421.44
2300,789.22,-534.4,708.02,460.12
2400,550.86,-532.3,856.58,111.58
2500,810.22,-534.08,790.66,527.76
2600,699.3,-535.26,652.12,110.74
2700,711.36,-531.78,838.68,246.9
2800,720.22,-532.42,954.46,274.28
2900,438.96,-537.12,839.48,454.54
3000,684.5,-536.4,785.88,488.8
3100,738.76,-531.68,680.94,589.82
3200,706.08,-534.42,762.72,538.28
3300,761.88,-536.4,976.1,990.6
3400,538.72,-538.94,865.56,1009.32
3500,718.36,-532.64,870.38,671.42
3600,807.6,-534.12,896.48,855.5
3700,881.72,-531.14,617.04,787.88
3800,623.68,-533.56,721.22,680.52
3900,694.88,-529.52,684.58,517.76
4000,702.32,-535.98,1032.56,540.92
4100,683.66,-535.04,802.86,533.08
4200,731.4,-538.9,784.94,403.34
4300,828.9,-530.0,1014.98,427.26
4400,816.66,-535.36,974.58,141.8
4500,606.86,-534.56,1051.0,409.92
4600,940.32,-534.12,856.3,347.06
4700,593.96,-533.26,659.1,802.3
4800,754.02,-536.68,773.8,955.74
4900,773.42,-533.68,1099.18,962.74
5000,857.28,-529.04,759.16,784.58
5100,702.92,-534.1,897.54,613.46
5200,762.82,-535.32,1047.84,658.42
5300,870.3,-533.58,780.84,780.74
5400,788.22,-531.98,935.4,682.76
5500,746.3,-531.3,810.26,745.54
5600,873.24,-536.38,821.38,1142.7
5700,779.18,-532.24,1004.06,808.12
5800,901.5,-534.6,910.6,1003.46
5900,849.86,-533.34,852.84,859.44
6000,902.92,-535.98,962.84,727.58
6100,668.76,-530.32,1049.26,941.04
6200,972.04,-531.64,1167.98,571.18
6300,778.32,-531.46,1147.96,795.38
6400,793.02,-531.14,890.34,881.42
6500,628.84,-535.22,1030.68,1100.92
6600,1019.74,-532.44,1076.92,1026.68
6700,749.42,-531.56,1182.5,953.48
6800,1064.0,-534.8,1071.52,1119.38
6900,903.86,-536.52,872.74,1127.0
7000,716.28,-535.3,1144.54,883.34
7100,828.94,-533.26,879.04,909.68
7200,1040.08,-535.48,1222.32,840.96
7300,1049.82,-534.1,1060.62,1026.08
7400,1029.8,-534.84,961.6,1069.84
7500,974.72,-533.68,1024.34,720.24
7600,989.76,-535.02,1150.1,660.3
7700,806.8,-528.12,959.8,1176.28
7800,838.32,-538.38,979.24,1035.86
7900,960.02,-533.24,998.08,509.02
8000,814.54,-531.08,1106.82,737.9
8100,1075.52,-531.78,1295.56,933.5
8200,922.58,-530.98,1140.54,737.32
8300,923.8,-536.92,1095.68,490.32
8400,887.24,-537.26,957.8,690.42
8500,919.36,-536.82,1204.24,785.04
8600,928.68,-528.86,1086.5,783.56
8700,1092.26,-535.36,866.24,1191.78
8800,1247.76,-534.46,1091.42,1027.42
8900,1070.02,-533.88,1083.7,914.98
9000,753.86,-533.88,1115.7,1283.7
9100,955.62,-530.72,894.38,1284.0
9200,794.44,-537.26,1035.28,1374.54
9300,1033.32,-533.34,920.48,1176.72
9400,867.18,-537.68,1202.64,1072.12
9500,933.62,-531.12,1208.52,910.5
9600,973.12,-532.84,1335.74,1072.72
9700,985.96,-534.46,1066.38,1006.26
9800,817.0,-536.9,991.22,1176.04
9900,1034.08,-535.46,1197.32,1123.56
10000,889.82,-536.72,1046.84,1113.9
10100,943.34,-533.46,1061.5,1207.98
10200,912.66,-533.54,1062.06,1166.44
10300,970.42,-537.86,1215.62,1238.58
10400,949.94,-535.62,1115.36,1089.4
10500,830.96,-537.34,879.58,1264.82
10600,891.5,-537.68,1038.52,1457.1
10700,1125.62,-532.1,883.38,1176.32
10800,785.2,-535.72,1125.68,1027.78
10900,1105.56,-533.28,1338.0,1180.34
11000,1177.38,-536.22,1031.76,1169.6
11100,866.74,-533.08,1117.48,1263.78
11200,1225.74,-536.82,1205.24,1290.76
11300,1203.2,-536.94,895.84,889.02
11400,981.3,-535.36,1226.88,1219.08
11500,919.44,-537.12,1019.58,1132.08
11600,1109.14,-533.96,1236.58,1151.24
11700,677.06,-535.78,1303.6,1221.94
11800,1038.4,-536.54,1286.28,1220.8
11900,924.22,-536.86,1254.74,1254.94
12000,967.1,-536.72,1413.04,1343.08
12100,1010.34,-531.62,810.66,1315.24
12200,877.58,-534.2,1040.78,1319.1
12300,815.14,-533.52,960.9,1345.06
12400,1073.76,-531.26,1129.52,1514.44
12500,1127.68,-538.06,1251.9,1269.02
12600,1115.88,-536.62,1027.5,1168.28
12700,1118.2,-532.12,1205.48,1255.94
12800,1121.7,-533.9,1213.44,1353.14
12900,944.64,-530.78,1143.3,1312.56
13000,1243.26,-535.24,1197.06,1213.66
13100,1166.14,-533.16,1166.72,1114.56
13200,1315.06,-530.86,1215.18,1148.38
13300,981.22,-533.44,1321.74,1101.52
13400,1072.9,-535.42,1167.28,1148.3
13500,1272.14,-530.88,1146.9,1093.46
13600,944.32,-533.9,1090.24,1104.12
13700,1200.92,-537.32,1419.9,1010.12
13800,999.8,-535.28,981.9,1319.54
13900,1229.22,-533.36,1154.16,1519.94
14000,1096.74,-536.06,1417.86,1376.26
14100,1087.06,-536.84,1195.72,1484.68
14200,1080.5,-534.7,1153.36,1307.82
14300,1189.16,-532.8,1383.68,1358.64
14400,1123.5,-538.68,1286.18,1481.58
14500,1197.88,-534.06,1218.98,1563.2
14600,1328.62,-535.16,1175.84,1328.46
14700,982.2,-534.24,1041.2,1369.4
14800,1034.82,-533.82,1235.3,1359.7
14900,1088.56,-534.74,1269.84,1507.1
15000,1241.76,-534.18,1007.42,1287.28
15100,1316.28,-533.66,1499.04,1300.66
15200,1305.98,-534.4,1247.64,990.14
15300,1423.1,-532.0,1094.94,1360.66
15400,996.2,-534.54,1231.62,1134.2
15500,1010.56,-537.24,1145.84,1182.72
15600,1050.78,-531.4,1511.8,1332.24
15700,1188.62,-529.02,1387.66,1407.32
15800,1308.04,-535.04,1184.68,1339.26
15900,1218.3,-532.72,1556.58,1304.2
16000,1279.3,-533.86,1182.62,1504.6
16100,1164.36,-535.64,1221.52,1449.54
16200,1114.44,-536.28,1385.5,1151.36
16300,1124.36,-534.92,1318.32,1426.76
16400,1109.96,-531.88,1070.48,1692.12
16500,1018.78,-536.72,1443.02,1380.12
16600,1246.18,-533.56,1391.74,1263.2
16700,1210.26,-534.86,1274.12,1490.8
16800,1183.14,-534.08,995.7,1408.64
16900,1135.8,-529.84,1550.38,1443.48
17000,1233.42,-536.32,1128.44,1166.5
17100,1375.96,-532.3,1160.38,1191.6
17200,1206.68,-534.42,1183.7,1556.6
17300,1323.14,-530.92,1437.64,1359.78
17400,1424.12,-535.02,1376.5,1195.58
17500,1156.16,-535.14,1512.92,1608.94
17600,1055.26,-535.76,1264.32,1261.9
17700,1245.36,-537.3,1071.46,1170.52
17800,1304.06,-536.24,1262.86,1147.5
17900,1262.52,-541.58,962.64,1336.1
18000,1277.5,-536.52,1355.9,1395.92
18100,1444.84,-532.48,1030.96,1326.28
18200,1058.28,-531.36,1210.82,1239.52
18300,1353.46,-531.66,1372.96,1375.48
18400,1205.7,-533.44,1369.68,1225.46
18500,1400.24,-530.74,1235.06,1539.96
18600,1330.16,-532.88,1370.92,1483.54
18700,1297.32,-534.42,1273.26,1444.8
18800,1216.48,-538.7,1529.1,1187.36
18900,1377.96,-532.32,1213.3,1427.58
19000,936.54,-532.24,1118.52,1513.98
19100,1381.42,-536.92,1199.52,1413.98
19200,1311.14,-534.34,1401.48,1596.26
19300,1273.46,-535.16,1171.62,1292.7
19400,1323.46,-533.84,1364.86,1141.9
19500,1116.94,-536.78,1395.6,1431.2
19600,1265.48,-535.88,1157.36,1570.98
19700,1260.3,-540.52,963.5,1305.42
19800,1315.86,-534.54,1078.28,1423.74
19900,1324.14,-532.84,1122.32,1394.66
20000,1267.2,-534.08,1401.32,1344.12